item_id,name,material_id,brand_name,tb_price,our_price,zk_final_price,reserve_price,final_promotion_price,predict_rounding_up_price,shop_name,title,sub_title,short_title,image_url,click_url,annual_vol,level_one_category_id,level_one_category_name,tk_total_sales,coupon_url,has_full_reduction,full_reduction_coupon_set,full_reduction_coupon_fee0,full_reduction_coupon_desc0,full_reduction_coupon_type0,full_reduction_coupon_src_scene0,full_reduction_coupon_fee1,full_reduction_coupon_desc1,full_reduction_coupon_type1,full_reduction_coupon_src_scene1,has_alimama_reduction,alimama_coupon_set,alimama_coupon_fee0,alimama_coupon_desc0,alimama_coupon_type0,alimama_coupon_src_scene0,alimama_coupon_fee1,alimama_coupon_desc1,alimama_coupon_type1,alimama_coupon_src_scene1,has_open_reduction,open_coupon_set,open_coupon_fee0,open_coupon_desc0,open_coupon_type0,open_coupon_src_scene0,open_coupon_fee1,open_coupon_desc1,open_coupon_type1,open_coupon_src_scene1
DvqjRR8FDt5vPgBobpIOnJsjtn-MxxMMdZu485YGv7RFX,鸿星尔克男士轻便软底爸爸运动鞋,86620,erke/鸿星尔克,139,119,139,239.00,119,,鸿星尔克官方旗舰店,鸿星尔克运动鞋2024新款夏季男鞋网面透气跑步鞋黑色运动鞋子男款,网面舒适 减震轻便,鸿星尔克男士轻便软底爸爸运动鞋,http://img.alicdn.com/bao/uploaded/i2/349740505/O1CN01sfUDZu1FbKywPKR5y_!!349740505.jpg,69￥ CZ0000 ptfg3ZWsigj￥ https://m.tb.cn/h.gTzsdi8  鸿星尔克运动鞋2024新款夏季男鞋网面透气跑步鞋黑色运动鞋子男款,20万+,50012029,运动鞋new,,59￥ CZ0016 vsLc3ZWIt7H￥ https://m.tb.cn/h.gTzsAYP  鸿星尔克运动鞋2024新款夏季男鞋网面透气跑步鞋黑色运动鞋子男款,否,,,,,,,,,,是,,20,满69减20,单品券,妈妈渠道券,,,,,是,,,满459减50,店铺券,全网公开券,,满239减20,店铺券,全网公开券
KMVjkr9c3to8vDRGM9HpjVCJtW-0YY66gdCNv34aMQDuxz,乔丹凌动科技减震舒适透气跑步鞋,86620,乔丹,159,119,159,259.00,119,,乔丹官方旗舰店,乔丹运动鞋男鞋夏季网面透气跑步鞋减震轻便防滑跑鞋官方正品黑色,,乔丹凌动科技减震舒适透气跑步鞋,http://img.alicdn.com/bao/uploaded/i3/458694874/O1CN01VOIXFb1lsLORpFcUv_!!458694874.jpg,29￥ CZ3456 fUrj3ZWIDph￥ https://m.tb.cn/h.g6hjgPy  乔丹运动鞋男鞋夏季网面透气跑步鞋减震轻便防滑跑鞋官方正品黑色,10万+,50012029,运动鞋new,,97￥ ZH4920 U9en3ZWIgat￥ https://m.tb.cn/h.gh7MukV  乔丹运动鞋男鞋夏季网面透气跑步鞋减震轻便防滑跑鞋官方正品黑色,否,,,,,,,,,,是,,40,满79减40,单品券,妈妈渠道券,,满169减40,单品券,妈妈渠道券,是,,,满200减20,店铺券,全网公开券,,满100减5,店铺券,全网公开券
KMVjkrQI3to8vDRGM9HpgZtJtW-0YY66gdCNpmGVk7gcx0,ohsunny凉感露指可触屏防晒手套,86620,OhSunny,62,50,62,138.00,50,,ohsunny官方旗舰店,ohsunny凉感防晒手套户外防紫外线透气防滑可触屏开车遮阳原纱,可触屏  UPF50+ 有效遮蔽99%以上紫外线,ohsunny凉感露指可触屏防晒手套,http://img.alicdn.com/bao/uploaded/i2/3351172141/O1CN01tnguaw1RgcvMxqmPX_!!0-item_pic.jpg,58￥ CZ0015 KRBq3ZWs8LZ￥ https://m.tb.cn/h.gh7o9sf  ohsunny凉感防晒手套户外防紫外线透气防滑可触屏开车遮阳原纱,3万+,50010404,服饰配件/皮带/帽子/围巾,,38￥ CZ8908 MLTF3ZWrmGM￥ https://m.tb.cn/h.gh7omyw  ohsunny凉感防晒手套户外防紫外线透气防滑可触屏开车遮阳原纱,否,,,,,,,,,,是,,12,满62减12,单品券,妈妈渠道券,,,,,否,,,,,,,,,
G3Qj5rXf8tYa308gBxFPB5UQtJ-DYYKKrZCpbBn84K9cOz,匹克态极新款防滑家居运动拖鞋,86620,Peak/匹克,169,139,169,169.00,139,,匹克官方旗舰店,匹克态极拖鞋男夏季男士运动恢复外穿篮球防滑凉拖女款户外沙滩鞋,态极自适应智能科技,匹克态极新款防滑家居运动拖鞋,http://img.alicdn.com/bao/uploaded/i4/94504595/O1CN01kMvfyb1joYtFdDNvc-94504595.jpg,78￥ CZ3460 DSlG3ZWsSsa￥ https://m.tb.cn/h.g6slN3d  匹克态极拖鞋男夏季男士运动恢复外穿篮球防滑凉拖女款户外沙滩鞋,10万+,50012029,运动鞋new,,28￥ ZH4920 nBAa3ZWsUfC￥ https://m.tb.cn/h.g6h8wKH  匹克态极拖鞋男夏季男士运动恢复外穿篮球防滑凉拖女款户外沙滩鞋,否,,,,,,,,,,是,,30,满99减30,单品券,妈妈渠道券,,,,,是,,,满300减50,店铺券,全网公开券,,满99减10,店铺券,全网公开券
AvPjqK8tzt4OPqmVrATJGbUvtn-qGGzzD2CrvNG4QobHM,艾灸点火器防风打火机点艾、雪茄,86620,LEHMAN/雷曼,15.8,13.8,15.8,30.00,13.8,,奇蚁卖场旗舰店,防风打火机充气点火器雪茄点香点艾灸艾条专用焊枪喷枪火棒长手柄,创意高温防风打火机  点香艾灸雪茄烧烤火机,艾灸点火器防风打火机点艾、雪茄,http://img.alicdn.com/bao/uploaded/i1/730276480/O1CN01fhwIHt1xjtRZuV8wn_!!0-item_pic.jpg,98￥ CZ3456 SiZf3ZWshj7￥ https://m.tb.cn/h.g6sPNR3  防风打火机充气点火器雪茄点香点艾灸艾条专用焊枪喷枪火棒长手柄,20万+,28,ZIPPO/瑞士军刀/眼镜,,07￥ CZ3452 tdQQ3ZWs11l￥ https://m.tb.cn/h.g6sPRXe  防风打火机充气点火器雪茄点香点艾灸艾条专用焊枪喷枪火棒长手柄,是,,,每200减20,,,,,,,是,,2,满14减2,单品券,妈妈渠道券,,,,,否,,,,,,,,,
nKavP2gHMt3qomJ6MQFNjQH0tP-8YYnn6oC0MRkGp7ACq2,361运动鞋新款轻便软底跳绳鞋女,86620,361°,179,118,179,279.00,118,,361度官方旗舰店,361女鞋运动鞋2024夏季新款轻便跑步鞋网面透气跑鞋软底跳绳鞋,NFO软弹科技，澎湃脚感,361运动鞋新款轻便软底跳绳鞋女,http://img.alicdn.com/bao/uploaded/i2/363607599/O1CN01x2Ol3t260OfiJe4gk-363607599.jpg,59￥ MF1643 imwh3ZWIk9F￥ https://m.tb.cn/h.gh7oI6k  361女鞋运动鞋2024夏季新款轻便跑步鞋网面透气跑鞋软底跳绳鞋,10万+,50012029,运动鞋new,,99￥ CZ0012 qf0O3ZWIAL5￥ https://m.tb.cn/h.g6sPAeO  361女鞋运动鞋2024夏季新款轻便跑步鞋网面透气跑鞋软底跳绳鞋,否,,,,,,,,,,是,,60,满179减60,单品券,妈妈渠道券,,,,,是,,,满300减30,店铺券,全网公开券,,满119减50,单品券,全网公开券
bwJQ3dVFgtoMxwQv20HN63tQt6-daaJJyrHpdkGA4r9hk,空军一号情侣鞋运动鞋透气板鞋女,86620,361°,159,108,159,249.00,108,,361度官方旗舰店,361小白鞋女鞋2024夏季新款鞋子空军一号情侣鞋运动鞋透气板鞋男,情侣空军一号小白鞋,空军一号情侣鞋运动鞋透气板鞋女,http://img.alicdn.com/bao/uploaded/i2/363607599/O1CN01m0wqbT260Ofob3hfM_!!0-item_pic.jpg,79￥ CZ0002 iosf3ZWIIaP￥ https://m.tb.cn/h.g6h8rL2  361小白鞋女鞋2024夏季新款鞋子空军一号情侣鞋运动鞋透气板鞋男,9万+,50012029,运动鞋new,,18￥ ZH4920 BxmI3ZWIFPi￥ https://m.tb.cn/h.gTzIxY5  361小白鞋女鞋2024夏季新款鞋子空军一号情侣鞋运动鞋透气板鞋男,否,,,,,,,,,,是,,50,满159减50,单品券,妈妈渠道券,,,,,是,,,满89减40,单品券,全网公开券,,满300减30,店铺券,全网公开券
eN9B02WtDtdbYVPnmAfXYgizt0-Q7755dZTw6qazVw8fn,361运动鞋新款网面轻便跑步鞋,86620,361°,139,99,139,239.00,99,,361度官方旗舰店,361运动鞋男鞋2024夏季软底跑鞋网面透气休闲鞋子减震跑步鞋男款,热销爆款 月销过万,361运动鞋新款网面轻便跑步鞋,http://img.alicdn.com/bao/uploaded/i2/363607599/O1CN01Qj2zck260Ofk57PZg_!!0-item_pic.jpg,09￥ ZH4920 4Rzm3ZWIl5K￥ https://m.tb.cn/h.gh7M49i  361运动鞋男鞋2024夏季软底跑鞋网面透气休闲鞋子减震跑步鞋男款,10万+,50012029,运动鞋new,,78￥ HU0854 5zlT3ZWsXqn￥ https://m.tb.cn/h.g6hjgOg  361运动鞋男鞋2024夏季软底跑鞋网面透气休闲鞋子减震跑步鞋男款,否,,,,,,,,,,是,,40,满139减40,单品券,妈妈渠道券,,,,,是,,,满49减30,单品券,全网公开券,,满300减30,店铺券,全网公开券
zjkvnpvheta46dm2XwtYWJhdt4-booDDB5fGvjpKPXNHo,斯凯奇泡泡鞋厚底踩屎感洞洞鞋,86620,Skechers/斯凯奇,329,279,329,449.00,279,265.05,skechers官方旗舰店,Skechers斯凯奇泡泡鞋女鞋洞洞鞋包头拖鞋厚底增高踩屎感外穿凉鞋,休闲凉拖鞋，满足时尚休闲搭配,斯凯奇泡泡鞋厚底踩屎感洞洞鞋,http://img.alicdn.com/bao/uploaded/i4/783329018/O1CN016aDmCi2GUIgsENA9p_!!0-item_pic.jpg,77￥ CZ8908 iddk3ZWsVxM￥ https://m.tb.cn/h.gh7nIiX  Skechers斯凯奇泡泡鞋女鞋洞洞鞋包头拖鞋厚底增高踩屎感外穿凉鞋,2万+,50006843,女鞋,,79￥ HU7632 rxmS3ZWIsFW￥ https://m.tb.cn/h.gh7oiMy  Skechers斯凯奇泡泡鞋女鞋洞洞鞋包头拖鞋厚底增高踩屎感外穿凉鞋,否,,,,,,,,,,是,,,满600减100,店铺券,妈妈渠道券,50,满300减50,店铺券,妈妈渠道券,是,,,满300减50,店铺券,全网公开券,,满600减100,店铺券,全网公开券
4NGjrpKcgtNoBnZeQbi7DrCNtg-XJJ550Zc04PxznWpfX,Ohsunny春夏户外大檐防晒蛋糕帽,86620,OhSunny,138,108,138,168.00,108,,ohsunny官方旗舰店,ohsunny防晒帽子女春夏户外太阳帽防紫外线遮阳空顶大檐蛋糕帽,UPF50+ 帽檐强遮光 有效遮敝99%以上紫外线,Ohsunny春夏户外大檐防晒蛋糕帽,http://img.alicdn.com/bao/uploaded/i2/3351172141/O1CN01T3LBMP1RgctU9Qla6_!!0-item_pic.jpg,29￥ CZ0001 SFrT3ZWrAbd￥ https://m.tb.cn/h.gTzsTuG  ohsunny防晒帽子女春夏户外太阳帽防紫外线遮阳空顶大檐蛋糕帽,4万+,50010404,服饰配件/皮带/帽子/围巾,,29￥ HU0025 9lRa3ZWse1z￥ https://m.tb.cn/h.g6skx09  ohsunny防晒帽子女春夏户外太阳帽防紫外线遮阳空顶大檐蛋糕帽,否,,,,,,,,,,是,,30,满138减30,单品券,妈妈渠道券,,,,,否,,,,,,,,,
xXavZwqIktqz0Q3mNKfWoQUAt9-xGGjjDeCOBoZW6Y0hB,鸿星尔克防晒口罩遮阳冰丝面罩,86620,erke/鸿星尔克,28.9,15.9,28.9,68.00,15.9,,鸿星尔克鹏景专卖店,鸿星尔克腮红防晒面罩女遮阳全脸防紫外线冰丝口罩夏户外骑行开车,,鸿星尔克防晒口罩遮阳冰丝面罩,http://img.alicdn.com/bao/uploaded/i1/2212740014701/O1CN01Y354uq1kb6fLzwmFv_!!0-item_pic.jpg,57￥ MF6563 uDML3ZWsZrU￥ https://m.tb.cn/h.g6sPAVX  鸿星尔克腮红防晒面罩女遮阳全脸防紫外线冰丝口罩夏户外骑行开车,3万+,50010404,服饰配件/皮带/帽子/围巾,,09￥ CZ8908 zrmd3ZWscXC￥ https://m.tb.cn/h.g6sPpMy  鸿星尔克腮红防晒面罩女遮阳全脸防紫外线冰丝口罩夏户外骑行开车,否,,,,,,,,,,是,,13,满15减13,单品券,妈妈渠道券,,,,,是,,,满198减20,店铺券,全网公开券,,满10减5,店铺券,全网公开券
mnavQ8khktJVdAX4mkTqJ3Uot3-GwwaaVZSrV9VG4PncN,CECE2024新款行铝框大容量行李箱,86620,cece（箱包）,458.0,358,498,798.00,358,330.79,cece旗舰店,CECE2024新款行李箱女大容量加厚铝框旅行箱男学生拉杆密码皮箱子,坚固 耐用 铝合金下沉框设计 TSA海关密码锁,CECE2024新款行铝框大容量行李箱,http://img.alicdn.com/bao/uploaded/i4/2200840029961/O1CN01CJMibA2NSC0CXwHBt_!!0-item_pic.jpg,39￥ CZ8908 ktww3ZWsK3P￥ https://m.tb.cn/h.g6sldoT  CECE2024新款行李箱女大容量加厚铝框旅行箱男学生拉杆密码皮箱子,10万+,50006842,箱包皮具/热销女包/男包,,99￥ MF1643 27dz3ZWISKF￥ https://m.tb.cn/h.gTzH9w5  CECE2024新款行李箱女大容量加厚铝框旅行箱男学生拉杆密码皮箱子,是,,40,每200减20,,,,,,,是,,100,满300减100,店铺券,妈妈渠道券,,,,,是,,,满300减100,店铺券,全网公开券,,,,
6WeZvABT8tG72APQkjCrRGSot3-AYYoobZCKZJBy0O9fN,361网面跑鞋轻便休闲跑步鞋,86620,361°,159,119,159,229.00,119,,361度官方旗舰店,361女鞋运动鞋2024夏季新款网面透气跑鞋轻便软底跑步鞋跳操鞋子,常规跑鞋,361网面跑鞋轻便休闲跑步鞋,http://img.alicdn.com/bao/uploaded/i3/363607599/O1CN01ion1gh260OfjUG3D2-363607599.jpg,28￥ MF6563 yoQ63ZWrmGB￥ https://m.tb.cn/h.gh7M4kY  361女鞋运动鞋2024夏季新款网面透气跑鞋轻便软底跑步鞋跳操鞋子,3万+,50012029,运动鞋new,,49￥ CZ0015 6U973ZWsXyw￥ https://m.tb.cn/h.g6hj7sa  361女鞋运动鞋2024夏季新款网面透气跑鞋轻便软底跑步鞋跳操鞋子,否,,,,,,,,,,是,,40,满159减40,单品券,妈妈渠道券,,,,,是,,,满49减30,单品券,全网公开券,,满300减30,店铺券,全网公开券
xXavZjnUktqz0Q3mNKfWP2uAt9-DYYKKrZCpvz2oR2KT6M,Skechers斯凯奇一脚蹬懒人鞋,86620,Skechers/斯凯奇,369,319,369,499.00,319,303.05,skechers官方旗舰店,Skechers斯凯奇女鞋夏季一脚蹬休闲鞋透气健步鞋妈妈鞋平底单鞋,成型大底带来更轻质体验，舒适度更好,Skechers斯凯奇一脚蹬懒人鞋,http://img.alicdn.com/bao/uploaded/i3/783329018/O1CN01XMY1hJ2GUIgqsWbJE_!!0-item_pic.jpg,19￥ CZ0012 3oU23ZWsg6T￥ https://m.tb.cn/h.g6h8wJh  Skechers斯凯奇女鞋夏季一脚蹬休闲鞋透气健步鞋妈妈鞋平底单鞋,1万+,50006843,女鞋,,57￥ CZ0012 fwwE3ZWrqoq￥ https://m.tb.cn/h.g6skx0z  Skechers斯凯奇女鞋夏季一脚蹬休闲鞋透气健步鞋妈妈鞋平底单鞋,否,,,,,,,,,,是,,,满600减100,店铺券,妈妈渠道券,50,满300减50,店铺券,妈妈渠道券,是,,,满300减50,店铺券,全网公开券,,满600减100,店铺券,全网公开券
R0epN4DiZtjNxP0Bz9c4G8CMt6-AYYoobZCKDwvDbK0h4,妙优童卡通儿童夏季凉拖鞋,86620,妙优童,9.9,7.9,9.9,21.90,7.9,,妙优童旗舰店,儿童拖鞋夏季宝宝女童男童亲子室内防滑小童小孩男孩中大童凉拖鞋,,妙优童卡通儿童夏季凉拖鞋,http://img.alicdn.com/bao/uploaded/i3/2069639905/O1CN01HNVZHc2N2Xwd0DvHS_!!0-item_pic.jpg,78￥ HU7632 3Oqm3ZWsovJ￥ https://m.tb.cn/h.g6h89Wn  儿童拖鞋夏季宝宝女童男童亲子室内防滑小童小孩男孩中大童凉拖鞋,1万+,122650005,童鞋/婴儿鞋/亲子鞋,,39￥ CZ0015 q6im3ZWs4jg￥ https://m.tb.cn/h.gh7Mdhw  儿童拖鞋夏季宝宝女童男童亲子室内防滑小童小孩男孩中大童凉拖鞋,否,,,,,,,,,,是,,,满9减2,店铺券,妈妈渠道券,,满9减2,店铺券,妈妈渠道券,否,,,,,,,,,
